target_id	length	eff_length	est_counts	tpm
Solyc01g103803.1.1	699	646.958	0	0
Solyc12g087900.2.1	1377	1324.96	0	0
Solyc09g090660.3.1	2092	2039.96	667.897	40.371
Solyc02g081700.1.1	747	694.958	718	127.394
Solyc08g079580.1.1	447	394.958	0	0
Solyc04g057880.3.1	6172	6119.96	29.977	0.603979
Solyc05g021090.3.1	1542	1489.96	169.487	14.0264
Solyc06g082000.3.1	2271	2218.96	16	0.889105
Solyc11g045540.1.1	447	394.958	0	0
Solyc10g084360.1.1	165	112.965	0	0
Solyc03g062745.1.1	441	388.958	1.41192	0.447598
Solyc04g050550.2.1	2358	2305.96	5	0.267363
Solyc05g024454.1.1	521	468.958	0	0
Solyc09g016957.1.1	339	286.958	0	0
Solyc09g060170.1.1	1035	982.958	0	0
Solyc05g055790.3.1	2662	2609.96	17.0129	0.803762
Solyc01g096255.1.1	405	352.958	0	0
Solyc05g054170.3.1	4313	4260.96	264	7.63974
Solyc01g005730.3.1	3708	3655.96	1134.5	38.2635
Solyc10g018355.1.1	780	727.958	0	0
Solyc08g076830.1.1	1026	973.958	10	1.26602
Solyc10g045040.1.1	225	172.958	0	0
Solyc03g081203.1.1	183	130.958	3	2.82469
Solyc02g085700.2.1	2892	2839.96	216	9.37829
Solyc12g008580.2.1	2991	2938.96	112	4.69901
Solyc08g014290.1.1	1188	1135.96	59	6.4043
Solyc01g102970.3.1	2799	2746.96	161	7.22696
Solyc08g044540.1.1	225	172.958	0	0
Solyc06g060270.3.1	3396	3343.96	23	0.848104
Solyc06g072570.3.1	1211	1158.96	738	78.5183
Solyc01g109070.2.1	616	563.958	454	99.2639
Solyc05g041900.1.1	285	232.958	0	0
Solyc01g010050.3.1	1875	1822.96	492	33.279
Solyc08g061450.2.1	1512	1459.96	1	0.0844582
Solyc10g055740.2.1	1711	1658.96	29	2.15548
Solyc01g086900.3.1	3177	3124.96	174	6.86574
Solyc11g007120.2.1	1251	1198.96	401	41.2404
Solyc01g104448.1.1	516	463.958	0	0
Solyc01g060410.3.1	279	226.958	0	0
Solyc02g080470.3.1	3187	3134.96	221	8.69246
Solyc08g045760.1.1	261	208.958	0	0
Solyc11g008720.2.1	2785	2732.96	28	1.2633
Solyc05g051840.1.1	1134	1081.96	86	9.80099
Solyc02g084550.3.1	1100	1047.96	428	50.3596
Solyc04g017965.1.1	300	247.958	0	0
Solyc07g045250.1.1	213	160.958	134	102.654
Solyc02g092420.3.1	2392	2339.96	49	2.58208
Solyc10g055650.2.1	3037	2984.96	458	18.9195
Solyc07g007290.1.1	1572	1519.96	1	0.0811242
Solyc06g068930.2.1	1137	1084.96	0	0
Solyc05g009050.3.1	4077	4024.96	69.2681	2.12204
Solyc04g054730.3.1	2506	2453.96	58	2.91436
Solyc03g034201.1.1	498	445.958	0	0
Solyc06g007165.1.1	2062	2009.96	3	0.184042
Solyc03g013630.3.1	2749	2696.96	72	3.29185
Solyc03g112200.1.1	756	703.958	176	30.8282
Solyc02g083630.3.1	2225	2172.96	180	10.2142
Solyc02g092810.3.1	868	815.958	30	4.53352
Solyc10g082060.1.1	759	706.958	0.13079	0.0228119
Solyc01g087570.2.1	548	495.958	149	37.0445
Solyc09g063140.3.1	2272	2219.96	36.7665	2.04216
Solyc01g060210.3.1	456	403.958	0	0
Solyc02g069515.1.1	1210	1157.96	80	8.51882
Solyc02g070210.3.1	1637	1584.96	16	1.24476
Solyc09g008950.1.1	828	775.958	0	0
Solyc03g116390.3.1	617	564.958	2	0.436512
Solyc06g071340.1.1	96	47.7815	0	0
Solyc11g017470.2.1	1385	1332.96	1123	103.883
Solyc02g030630.1.1	921	868.958	0	0
Solyc08g083175.1.1	396	343.958	0	0
Solyc08g048250.3.1	1857	1804.96	108	7.378
Solyc12g032937.1.1	345	292.958	0	0
Solyc09g009190.3.1	2730	2677.96	8	0.368356
Solyc12g006870.2.1	1232	1179.96	466	48.6969
Solyc07g008350.3.1	1670	1617.96	543	41.3823
Solyc08g068640.3.1	5247	5194.96	66.0526	1.5678
Solyc02g021520.1.1	279	226.958	0	0
Solyc09g007250.3.1	1648	1595.96	1980	152.977
