target_id	length	eff_length	est_counts	tpm
Solyc10g018885.1.1	357	304.958	0	0
Solyc10g051050.2.1	2773	2720.96	13	0.673954
Solyc03g007680.3.1	1191	1138.96	336	41.6141
Solyc03g115800.1.1	1281	1228.96	3	0.344344
Solyc05g005910.3.1	1815	1762.96	0	0
Solyc07g032300.1.1	213	160.958	0	0
Solyc01g091860.3.1	3645	3592.96	115.865	4.54891
Solyc12g098660.2.1	1485	1432.96	201	19.7866
Solyc04g057890.3.1	4289	4236.96	514.542	17.1307
Solyc06g008960.3.1	4420	4367.96	86	2.77734
Solyc02g030520.1.1	69	29.752	0	0
Solyc10g044967.1.1	720	667.958	0	0
Solyc07g026705.1.1	641	588.958	1	0.239511
Solyc07g039384.1.1	453	400.958	0	0
Solyc08g005440.3.1	3192	3139.96	118	5.30111
Solyc01g005610.3.1	1068	1015.96	2	0.277692
Solyc04g050345.1.1	390	337.958	0	0
Solyc10g086290.2.1	1363	1310.96	1	0.107602
Solyc12g035860.1.1	315	262.958	0	0
Solyc05g016473.1.1	3230	3177.96	0	0
Solyc02g088954.1.1	675	622.958	0.532568	0.120594
Solyc08g082330.3.1	484	431.958	17	5.55158
Solyc05g026050.3.1	1505	1452.96	213	20.6793
Solyc10g050630.1.1	315	262.958	0	0
Solyc07g039540.1.1	246	193.958	0	0
Solyc01g096185.1.1	435	382.958	0	0
Solyc07g021740.2.1	811	758.958	0	0
Solyc02g062375.1.1	3217	3164.96	164	7.30945
Solyc12g009620.2.1	1820	1767.96	299	23.8566
Solyc05g012170.2.1	783	730.958	0	0
Solyc01g103803.1.1	699	646.958	0	0
Solyc12g087900.2.1	1377	1324.96	0	0
Solyc09g090660.3.1	2092	2039.96	552.027	38.1723
Solyc02g081700.1.1	747	694.958	681	138.228
Solyc08g079580.1.1	447	394.958	0	0
Solyc04g057880.3.1	6172	6119.96	6.65927	0.153492
Solyc05g021090.3.1	1542	1489.96	138.605	13.1225
Solyc06g082000.3.1	2271	2218.96	20	1.27142
Solyc11g045540.1.1	447	394.958	0	0
Solyc10g084360.1.1	165	112.965	0	0
Solyc03g062745.1.1	441	388.958	3.67328	1.33217
Solyc04g050550.2.1	2358	2305.96	9	0.550554
Solyc05g024454.1.1	521	468.958	0	0
Solyc09g016957.1.1	339	286.958	0	0
Solyc09g060170.1.1	1035	982.958	0	0
Solyc05g055790.3.1	2662	2609.96	14.0065	0.757014
Solyc01g096255.1.1	405	352.958	0	0
Solyc05g054170.3.1	4313	4260.96	141	4.66789
Solyc01g005730.3.1	3708	3655.96	542.138	20.9179
Solyc10g018355.1.1	780	727.958	0	0
Solyc08g076830.1.1	1026	973.958	7	1.01383
